GDP at current market prices (Million euro),,,,,,,,,,,,,,,,,,
source: nama_10r_2gdp (eurostat) Swiss Federal Statistical Office (FSO) CHF-EURO 1.07 (2015),,,,,,,,,,,,,,,,,,
nuts_2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
DEB2,10313.41,10481.67,10828.97,11108.08,11422.53,11470.34,11773.51,12293.35,12657.74,12336.57,12670.95,13490.76,13780.61,14419.09,14922.01,15515.35,15904.58,16560.46
DEB3,50206.02,50230.25,51059.67,51113.48,52845.41,53030.28,55179.72,58121.34,59036.08,57587.08,61218.98,63856.16,65813,66689.73,69171.18,72670.98,74359.91,77505.78
DEC0,25412.17,25969.57,25990.32,26233,27366.8,28725.82,29896.45,31353.02,31729.8,28690.46,30295.42,32033.13,32276.52,31975.01,33428.93,34326.87,34511.92,35447.48
DED2,29687.17,30951.77,32416.48,33378.24,34501.56,34401.49,35533.53,37270.7,37382.45,36409.42,37721.99,39101.2,39774.34,41137.22,43018.39,45673.15,47139.65,48514.64
DED4,27347.59,27937.53,28745.34,29133.42,29834.79,29813,31411.91,32843.22,33138.42,31591.58,33198.09,34674.72,34992.61,35337.6,37031.42,38291,39946.56,41071.96
DED5,18489.27,19070.03,19703.82,19997.68,20393.82,20438.93,21833.33,22839.63,23460.6,23167.05,24132.43,25734.58,26752.93,27748.25,29322.86,30233.57,31650.87,32591.14
DEE0,42430.12,43062.79,44606.65,44904.61,45769,45864.45,47898.64,50152.98,50869.32,48530.45,51349.93,52042.32,54219.6,55177.71,56500.39,57907.64,59484.69,61064.27
DEF0,64149.11,66095.71,65344.37,66124.52,67570.82,68041.31,70119.41,71983.88,74363.17,72241.33,73897.81,76596.57,79837.12,81480.05,84566.09,86885.5,90109.46,93639.53
DEG0,39673.39,40695.64,41341.54,42135.78,43067.25,43146.91,44868.62,46928.27,47422.72,45513.46,48224.5,50972.47,51612.42,53712.47,56661.97,58350.56,60250.48,62198.89
DK01,65298.7,67803.5,68469.16,70287.24,74539.73,79913.72,81354.4,84035.62,87990.84,85989.65,93399.91,93288.54,97256.43,100665.88,105454.55,111122.73,114930.85,119566.87
